Workout Profile,Workout
1,"Mon: Rest
Tue: Bodyweight Cardio Circuit
Jumping Jacks – 3 sets of 30 seconds

Bodyweight Squats – 3 sets of 15 reps

Incline Push-ups (hands on elevated surface) – 3 sets of 10 reps

Glute Bridges – 3 sets of 15 reps

Forearm Plank – 3 sets of 30 seconds

Wed: Rest
Thu: Lower Body and Core
High Knees – 3 sets of 30 seconds

Forward Lunges – 3 sets of 10 reps per leg

Wall Sit – 3 sets of 45 seconds

Leg Raises – 3 sets of 12 reps

Russian Twists – 3 sets of 20 reps (10 each side)

Fri: Rest
Sat: Bodyweight HIIT
Perform 3 rounds with 30 seconds rest between exercises

Burpees – 10 reps

Squat Pulses – 30 seconds

Plank Shoulder Taps – 30 seconds

Mountain Climbers – 45 seconds

Sun: Rest"
2,"Mon: Cardio Conditioning
Jumping Jacks – 3 sets of 30 seconds

High Knees – 3 sets of 30 seconds

Butt Kicks – 3 sets of 30 seconds

Mountain Climbers – 3 sets of 30 seconds

Standing Side Crunches – 3 sets of 20 reps (10 each side)

Tue: Lower Body and Core
Bodyweight Squats – 3 sets of 15 reps

Static Lunges – 3 sets of 10 reps per leg

Glute Bridges – 3 sets of 20 reps

Leg Raises – 3 sets of 12 reps

Forearm Plank – 3 sets of 30 seconds

Wed: Active Recovery
Standing Hamstring Stretch – 3 sets of 30 seconds per leg

Hip Flexor Stretch – 3 sets of 30 seconds per leg

Cat-Cow Stretch – 3 sets of 10 reps

Seated Forward Fold – 2 sets of 30 seconds

Neck Rolls – 2 sets of 5 circles each direction

Thu: Full Body Bodyweight Strength
Incline Push-ups – 3 sets of 10 reps

Bodyweight Squats – 3 sets of 15 reps

Glute Bridges – 3 sets of 15 reps

Superman Hold – 3 sets of 30 seconds

Plank – 3 sets of 30 seconds

Fri: HIIT Bodyweight Session
Complete 3 rounds with 30 seconds rest between exercises

Jump Squats – 12 reps

Mountain Climbers – 45 seconds

Plank to Push-up – 10 reps

Burpees – 10 reps

Sat: Core and Mobility
Russian Twists – 3 sets of 20 reps

Bicycle Crunches – 3 sets of 20 reps

Leg Raises – 3 sets of 12 reps

Cobra Stretch – 2 sets of 30 seconds

Child’s Pose – 2 sets of 30 seconds

Sun: Rest"
3,"Mon: Rest
Tue: Full Body Strength and Cardio
Treadmill Walk – 5 minutes warm-up at moderate pace

Leg Press Machine – 3 sets of 12 reps

Lat Pulldown Machine – 3 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Seated Cable Row – 3 sets of 10 reps

Stationary Bike – 10 minutes at steady pace

Wed: Rest
Thu: Lower Body and Core Focus
Bodyweight Walking Lunges – 3 sets of 10 reps per leg

Leg Curl Machine – 3 sets of 12 reps

Leg Extension Machine – 3 sets of 12 reps

Cable Crunch – 3 sets of 15 reps

Plank – 3 sets of 30 seconds

Seated Ab Twists with Medicine Ball – 3 sets of 20 reps

Fri: Rest
Sat: Treadmill HIIT + Upper Body Strength
Treadmill Intervals – 20 minutes (1 min fast walk, 1 min jog x10)

Chest Press Machine – 3 sets of 12 reps

Dumbbell Lateral Raises – 3 sets of 12 reps

Assisted Pull-up Machine – 3 sets of 8 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Sun: Rest"
4,"Mon: Treadmill Intervals and Upper Body Strength
Treadmill Intervals – 20 minutes (1 min brisk walk, 1 min light jog)

Chest Press Machine – 3 sets of 12 reps

Lat Pulldown Machine – 3 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Seated Cable Row – 3 sets of 10 reps

Tue: Lower Body Strength
Leg Press Machine – 3 sets of 12 reps

Dumbbell Goblet Squats – 3 sets of 10 reps

Romanian Deadlifts with Dumbbells – 3 sets of 12 reps

Seated Leg Curl Machine – 3 sets of 12 reps

Standing Calf Raises – 3 sets of 15 reps

Wed: Active Recovery
Stationary Bike – 15 minutes at low resistance

Hamstring Stretch – 3 sets of 30 seconds per leg

Hip Flexor Stretch – 3 sets of 30 seconds per leg

Upper Back Stretch – 2 sets of 30 seconds

Cat-Cow Stretch – 2 sets of 10 reps

Thu: Full Body Circuit (Machines + Dumbbells)
Perform 2–3 rounds with minimal rest between exercises

Dumbbell Squats – 12 reps

Dumbbell Chest Press – 12 reps

Lat Pulldown – 10 reps

Seated Row – 12 reps

Dumbbell Deadlifts – 12 reps

Plank – 30 seconds

Fri: Core and Cardio
Stairmaster – 10 minutes steady pace

Cable Crunches – 3 sets of 15 reps

Russian Twists (with medicine ball) – 3 sets of 20 reps

Leg Raises – 3 sets of 12 reps

Plank – 3 sets of 30 seconds

Sat: Cardio Focus Day
Elliptical Trainer – 20 minutes at moderate resistance

Jump Rope – 3 sets of 1 minute

Rowing Machine – 10 minutes moderate intensity

Stretching – 5 minutes total (lower back, hamstrings, shoulders)

Sun: Rest"
5,"Mon: Bodyweight Circuit – Push Focus
Incline Push-ups – 3 sets of 15 reps

Pike Shoulder Taps – 3 sets of 30 seconds

Diamond Push-ups – 3 sets of 8 reps

Wall Sit – 3 sets of 1 minute

Plank – 3 sets of 45 seconds

Tue: Rest
Wed: Core and Cardio Challenge
Perform 3 rounds with 30 seconds rest between exercises

Mountain Climbers – 45 seconds

Leg Raises – 15 reps

Plank to Push-up – 10 reps

Burpees – 12 reps

Side Plank – 30 seconds per side

Thu: Rest
Fri: Lower Body Power Circuit
Jump Squats – 3 sets of 15 reps

Single-leg Glute Bridges – 3 sets of 10 reps per leg

Side Lunges – 3 sets of 10 reps per side

Wall Sit – 3 sets of 1 minute

Plank with Leg Lift – 3 sets of 30 seconds

Sat: Rest
Sun: Rest"
6,"Mon: Full Body HIIT Circuit
Complete 3 rounds with 30 seconds rest between exercises

Jump Squats – 15 reps

Push-ups – 15 reps

Mountain Climbers – 45 seconds

Bicycle Crunches – 20 reps

Burpees – 10 reps

Plank – 45 seconds

Tue: Lower Body Strength & Conditioning
Walking Lunges – 3 sets of 12 reps per leg

Glute Bridges (with 3-second hold at top) – 3 sets of 15 reps

Bulgarian Split Squats (using a chair) – 3 sets of 10 reps per leg

Calf Raises – 3 sets of 20 reps

Wall Sit – 3 sets of 1 minute

Wed: Core Intensive
Leg Raises – 3 sets of 15 reps

Flutter Kicks – 3 sets of 30 seconds

Russian Twists – 3 sets of 30 reps (15 each side)

Plank with Shoulder Tap – 3 sets of 30 seconds

Side Plank – 3 sets of 30 seconds each side

Thu: Active Recovery & Mobility
Forward Fold Stretch – 3 sets of 30 seconds

Lying Spinal Twist – 2 sets of 30 seconds per side

Cat-Cow Stretch – 3 sets of 10 reps

World’s Greatest Stretch – 2 sets of 5 reps per side

Deep Breathing & Box Breathing – 5 minutes

Fri: Push + Plyo Focus
Push-ups – 4 sets of 15 reps

Triceps Dips (using chair) – 3 sets of 12 reps

Pike Push-ups – 3 sets of 10 reps

Jumping Lunges – 3 sets of 12 reps per leg

Plank to Push-up – 3 sets of 10 reps

Sat: Cardio Burnout & Core
High Knees – 3 sets of 1 minute

Jump Squats – 3 sets of 15 reps

Plank Jack – 3 sets of 30 seconds

Reverse Crunches – 3 sets of 15 reps

Side Plank Reach-Throughs – 3 sets of 10 reps per side

Sun: Rest"
7,"Mon: Full Body Strength + Cardio Intervals
Treadmill Warm-up – 5 minutes brisk walk

Leg Press – 3 sets of 12 reps

Lat Pulldown – 3 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Seated Cable Row – 3 sets of 12 reps

Stationary Bike Intervals – 10 minutes (30 sec sprint, 90 sec easy pace)

Tue: Rest
Wed: Lower Body Strength + Core
Goblet Squats – 3 sets of 12 reps

Romanian Deadlifts (Dumbbells) – 3 sets of 12 reps

Walking Lunges – 3 sets of 10 reps per leg

Seated Leg Curl – 3 sets of 15 reps

Hanging Knee Raises – 3 sets of 15 reps

Plank – 3 sets of 45 seconds

Thu: Rest
Fri: Push-Pull + HIIT Finisher
Chest Press Machine – 3 sets of 12 reps

Assisted Pull-ups – 3 sets of 8 reps

Dumbbell Lateral Raises – 3 sets of 15 reps

Cable Rope Triceps Pushdown – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Rowing Machine – 10 minutes (1 min hard, 1 min recovery)

Sat: Rest
Sun: Rest"
8,"Mon: Upper Body Strength + Cardio Intervals
Treadmill Warm-up – 5 minutes brisk walk

Barbell Bench Press – 3 sets of 10 reps

Lat Pulldown – 3 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Seated Cable Row – 3 sets of 12 reps

Stationary Bike Intervals – 12 minutes (1 min sprint, 1 min easy pace)

Tue: Lower Body Strength
Barbell Back Squat – 3 sets of 10 reps

Romanian Deadlifts (Barbell or Dumbbells) – 3 sets of 12 reps

Walking Lunges (Dumbbells optional) – 3 sets of 10 reps per leg

Seated Leg Curl – 3 sets of 15 reps

Standing Calf Raises – 3 sets of 20 reps

Wed: Core + Cardio Conditioning
Elliptical Trainer – 10 minutes at moderate pace

Hanging Leg Raises – 3 sets of 15 reps

Russian Twists (Medicine Ball) – 3 sets of 30 reps (15 per side)

Cable Crunches – 3 sets of 15 reps

Side Plank – 3 sets of 30 seconds each side

Treadmill Incline Walk – 10 minutes at 8–10% incline

Thu: Push Focus Strength + Rowing Intervals
Dumbbell Chest Press – 3 sets of 12 reps

Dumbbell Lateral Raises – 3 sets of 15 reps

Seated Shoulder Press Machine – 3 sets of 10 reps

Triceps Rope Pushdown – 3 sets of 12 reps

Rowing Machine – 10 minutes (1 min hard, 1 min recovery)

Fri: Pull Focus Strength + Core
Assisted Pull-ups – 3 sets of 8–10 reps

Barbell Bent-over Row – 3 sets of 10 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Face Pulls (Cable) – 3 sets of 15 reps

Plank – 3 sets of 1 minute

Reverse Crunches – 3 sets of 15 reps

Sat: Optional Active Recovery or Low-Intensity Cardio
Stationary Bike – 20 minutes low resistance

Full-body dynamic stretches – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
9,"Mon: High-Intensity Full Body Circuit
Complete 4 rounds with 30 seconds rest between exercises

Jump Squats – 20 reps

Push-ups – 20 reps

Mountain Climbers – 45 seconds

Plyometric Lunges – 12 reps per leg

Burpees – 15 reps

Plank to Push-up – 10 reps

Plank – 1 minute

Tue: Rest
Wed: Lower Body + Core Focus
Single-leg Glute Bridge – 3 sets of 12 reps per leg

Jumping Lunges – 3 sets of 12 reps per leg

Wall Sit – 3 sets of 1 minute

Side Plank Leg Raise – 3 sets of 10 reps per side

Reverse Crunches – 3 sets of 20 reps

Plank with Reach – 3 sets of 30 seconds

Thu: Rest
Fri: Bodyweight HIIT Burnout
Perform 4 rounds with 1 minute rest between rounds

High Knees – 45 seconds

Dive Bomber Push-ups – 12 reps

Skater Jumps – 20 reps

Burpees – 15 reps

Hollow Body Hold – 30 seconds

Jump Squats – 15 reps

Sat: Rest
Sun: Rest"
10,"Mon: Full Body Plyometric HIIT
Perform 4 rounds with 30 seconds rest between exercises

Jump Squats – 20 reps

Push-ups – 20 reps

Mountain Climbers – 45 seconds

Plyo Lunges – 15 reps per leg

Burpees – 15 reps

Plank to Push-up – 10 reps

Plank – 1 minute

Tue: Lower Body Strength & Balance
Single-leg Glute Bridge – 3 sets of 12 reps per leg

Jumping Lunges – 3 sets of 15 reps per leg

Wall Sit with Heel Raise – 3 sets of 45 seconds

Side Lunges – 3 sets of 12 reps per side

Calf Raises (Slow Tempo) – 3 sets of 20 reps

Side Plank with Leg Lift – 3 sets of 10 reps per side

Wed: Core & Mobility Conditioning
Hollow Body Hold – 3 sets of 30 seconds

Russian Twists – 3 sets of 30 reps (15 per side)

V-ups – 3 sets of 15 reps

Plank Walkouts – 3 sets of 10 reps

Cobra Stretch – 3 sets of 30 seconds

World’s Greatest Stretch – 2 sets of 5 reps per side

Thu: Upper Body Strength & Endurance
Dive Bomber Push-ups – 3 sets of 12 reps

Wide Grip Push-ups – 3 sets of 15 reps

Triceps Dips (on chair or step) – 3 sets of 15 reps

Pike Push-ups – 3 sets of 10 reps

Wall Walks – 3 sets of 3 reps

Plank Shoulder Taps – 3 sets of 30 seconds

Fri: Full Body Cardio Burnout
Circuit for 3 rounds:

High Knees – 1 minute

Jump Squats – 20 reps

Skater Jumps – 20 reps

Burpees – 15 reps

Push-ups – 20 reps

Plank with Reaches – 45 seconds

Sat: Optional Recovery & Stretch
Forward Fold – 3 sets of 30 seconds

Pigeon Pose – 2 sets of 30 seconds per side

Cat-Cow – 3 sets of 10 reps

Deep Breathing – 5 minutes

Light Walk or Step Activity – 10–15 minutes

Sun: Rest"
